step,resource,observation_0,action_0,personal_reward_0,empathic_reward_0,combined_reward_0,observation_1,action_1,personal_reward_1,empathic_reward_1,combined_reward_1,observation_2,action_2,personal_reward_2,empathic_reward_2,combined_reward_2,observation_3,action_3,personal_reward_3,empathic_reward_3,combined_reward_3,observation_4,action_4,personal_reward_4,empathic_reward_4,combined_reward_4
51,2874.0,[-0.125],0,0.13999999999999999,-0.05952380952380945,0.08047619047619053,[-0.275],1,0.7899999999999999,-0.23809523809523803,0.5519047619047619,[-0.3],1,0.8599999999999999,-0.3214285714285714,0.5385714285714285,[-0.2],0,0.21,-0.09523809523809518,0.11476190476190481,[-0.3],1,0.7899999999999999,-0.23809523809523803,0.5519047619047619
52,2872.0,[-0.075],0,0.13999999999999999,-0.05952380952380943,0.08047619047619056,[-0.25],0,0.48999999999999994,-0.238095238095238,0.25190476190476196,[-0.325],1,0.8599999999999999,-0.3214285714285714,0.5385714285714285,[-0.1],1,0.58,-0.13095238095238088,0.4490476190476191,[-0.25],0,0.42,-0.2023809523809523,0.21761904761904768
53,2868.0,[-0.05],1,0.51,0.023809523809523968,0.533809523809524,[-0.225],1,0.8599999999999999,-0.20238095238095227,0.6576190476190475,[-0.3],1,0.8599999999999999,-0.20238095238095227,0.6576190476190475,[-0.125],0,0.27999999999999997,-0.011904761904761758,0.2680952380952382,[-0.2],1,0.72,-0.08333333333333318,0.6366666666666668
54,2865.0,[0.025],1,0.51,0.023809523809523968,0.533809523809524,[-0.2],1,0.8599999999999999,-0.20238095238095227,0.6576190476190475,[-0.2],1,0.8599999999999999,-0.20238095238095227,0.6576190476190475,[-0.025],0,0.27999999999999997,-0.011904761904761758,0.2680952380952382,[-0.1],0,0.42,-0.08333333333333318,0.3366666666666668
55,2862.0,[0.025],1,0.58,-0.09523809523809514,0.48476190476190484,[-0.2],1,0.8599999999999999,-0.28571428571428564,0.5742857142857143,[-0.2],0,0.48999999999999994,-0.20238095238095227,0.28761904761904766,[-0.025],1,0.58,-0.09523809523809514,0.48476190476190484,[-0.1],0,0.35,-0.13095238095238085,0.21904761904761913
56,2859.0,[-0.1],1,0.6499999999999999,-0.13095238095238088,0.519047619047619,[-0.275],1,0.8599999999999999,-0.28571428571428564,0.5742857142857143,[-0.2],1,0.7899999999999999,-0.20238095238095227,0.5876190476190477,[-0.1],0,0.21,-0.05952380952380942,0.15047619047619057,[-0.125],0,0.35,-0.13095238095238088,0.2190476190476191
57,2859.0,[-0.15],0,0.35,-0.2857142857142857,0.06428571428571428,[-0.3],0,0.48999999999999994,-0.3571428571428571,0.13285714285714284,[-0.225],0,0.48999999999999994,-0.3571428571428571,0.13285714285714284,[-0.075],0,0.13999999999999999,-0.17857142857142855,-0.03857142857142856,[-0.15],0,0.27999999999999997,-0.25,0.02999999999999997
58,2857.0,[-0.275],0,0.35,-0.24999999999999997,0.1,[-0.35],0,0.48999999999999994,-0.3214285714285714,0.16857142857142854,[-0.35],0,0.48999999999999994,-0.3214285714285714,0.16857142857142854,[-0.175],1,0.51,-0.17857142857142855,0.33142857142857146,[-0.25],1,0.58,-0.21428571428571425,0.3657142857142857
59,2854.0,[-0.25],1,0.6499999999999999,-0.24999999999999994,0.39999999999999997,[-0.325],1,0.7899999999999999,-0.3214285714285714,0.4685714285714285,[-0.325],0,0.42,-0.2857142857142857,0.13428571428571429,[-0.175],1,0.58,-0.21428571428571425,0.3657142857142857,[-0.225],1,0.27999999999999997,-0.21428571428571425,0.06571428571428573
60,2853.0,[-0.225],0,0.35,-0.3214285714285714,0.02857142857142858,[-0.3],0,0.42,-0.3571428571428571,0.06285714285714289,[-0.275],1,0.72,-0.3571428571428571,0.3628571428571429,[-0.2],0,0.27999999999999997,-0.2857142857142857,-0.005714285714285727,[-0.2],0,0.21,-0.24999999999999994,-0.03999999999999995
61,2850.0,[-0.3],0,0.35,-0.3214285714285714,0.02857142857142858,[-0.35],0,0.35,-0.3214285714285714,0.02857142857142858,[-0.35],1,0.72,-0.3571428571428571,0.3628571428571429,[-0.275],1,0.6499999999999999,-0.3214285714285714,0.3285714285714285,[-0.225],1,0.51,-0.24999999999999994,0.26000000000000006
62,2846.0,[-0.325],1,0.72,-0.2857142857142857,0.4342857142857143,[-0.325],1,0.72,-0.2857142857142857,0.4342857142857143,[-0.375],1,0.72,-0.2857142857142857,0.4342857142857143,[-0.325],0,0.27999999999999997,-0.21428571428571425,0.06571428571428573,[-0.25],1,0.58,-0.21428571428571425,0.3657142857142857
63,2844.0,[-0.25],1,0.72,-0.3571428571428571,0.3628571428571429,[-0.25],1,0.72,-0.3571428571428571,0.3628571428571429,[-0.25],0,0.35,-0.3214285714285714,0.02857142857142858,[-0.175],0,0.27999999999999997,-0.2857142857142857,-0.005714285714285727,[-0.175],0,0.21,-0.24999999999999994,-0.03999999999999995
64,2841.0,[-0.35],1,0.72,-0.3571428571428571,0.3628571428571429,[-0.35],1,0.72,-0.3571428571428571,0.3628571428571429,[-0.3],0,0.27999999999999997,-0.2857142857142857,-0.005714285714285727,[-0.275],0,0.27999999999999997,-0.2857142857142857,-0.005714285714285727,[-0.225],1,0.58,-0.2857142857142857,0.29428571428571426
65,2839.0,[-0.325],1,0.72,-0.3928571428571428,0.3271428571428572,[-0.325],0,0.35,-0.3571428571428571,-0.0071428571428571175,[-0.25],1,0.6499999999999999,-0.3571428571428571,0.2928571428571428,[-0.25],0,0.21,-0.2857142857142857,-0.0757142857142857,[-0.25],0,0.27999999999999997,-0.3214285714285714,-0.041428571428571426
66,2836.0,[-0.4],1,0.35,-0.3571428571428571,-0.0071428571428571175,[-0.35],1,0.6499999999999999,-0.3571428571428571,0.2928571428571428,[-0.35],1,0.6499999999999999,-0.3571428571428571,0.2928571428571428,[-0.275],1,0.58,-0.3214285714285714,0.25857142857142856,[-0.325],0,0.27999999999999997,-0.3214285714285714,-0.041428571428571426
67,2834.0,[-0.35],1,0.72,-0.3214285714285714,0.3985714285714286,[-0.35],1,0.72,-0.3214285714285714,0.3985714285714286,[-0.35],0,0.35,-0.2857142857142857,0.06428571428571428,[-0.325],0,0.27999999999999997,-0.24999999999999994,0.030000000000000027,[-0.325],0,0.27999999999999997,-0.24999999999999994,0.030000000000000027
68,2832.0,[-0.3],1,0.7899999999999999,-0.3571428571428571,0.43285714285714283,[-0.3],0,0.42,-0.3214285714285714,0.09857142857142859,[-0.25],0,0.35,-0.2857142857142857,0.06428571428571428,[-0.225],0,0.21,-0.21428571428571425,-0.004285714285714254,[-0.225],1,0.58,-0.24999999999999997,0.32999999999999996
69,2830.0,[-0.35],1,0.7899999999999999,-0.3928571428571428,0.39714285714285713,[-0.325],1,0.72,-0.3571428571428571,0.3628571428571429,[-0.275],0,0.35,-0.3214285714285714,0.02857142857142858,[-0.2],0,0.13999999999999999,-0.21428571428571425,-0.07428571428571426,[-0.25],0,0.27999999999999997,-0.2857142857142857,-0.005714285714285727
70,2826.0,[-0.375],1,0.8599999999999999,-0.3214285714285714,0.5385714285714285,[-0.35],0,0.42,-0.20238095238095227,0.2176190476190477,[-0.3],1,0.6499999999999999,-0.16666666666666657,0.48333333333333334,[-0.2],1,0.51,-0.09523809523809512,0.4147619047619049,[-0.275],1,0.6499999999999999,-0.16666666666666657,0.48333333333333334
