step,resource,observation_0,action_0,personal_reward_0,empathic_reward_0,combined_reward_0,observation_1,action_1,personal_reward_1,empathic_reward_1,combined_reward_1,observation_2,action_2,personal_reward_2,empathic_reward_2,combined_reward_2,observation_3,action_3,personal_reward_3,empathic_reward_3,combined_reward_3,observation_4,action_4,personal_reward_4,empathic_reward_4,combined_reward_4
71,2841.0,[-0.4],1,0.7899999999999999,-0.4,-0.4,[-0.3],1,0.72,-0.35000000000000003,-0.35000000000000003,[-0.15],0,0.06999999999999999,-0.10000000000000003,-0.10000000000000003,[-0.2],0,0.21,-0.20000000000000004,-0.20000000000000004,[-0.15],0,0.13999999999999999,-0.15000000000000005,-0.15000000000000005
72,2838.0,[-0.4],1,0.8599999999999999,-0.4,-0.4,[-0.35],0,0.35,-0.24999999999999997,-0.24999999999999997,[-0.1],0,0.0,2.7755575615628914e-17,2.7755575615628914e-17,[-0.2],1,0.58,-0.19999999999999998,-0.19999999999999998,[-0.15],1,0.51,-0.14999999999999997,-0.14999999999999997
73,2835.0,[-0.4],1,0.9299999999999999,-0.39999999999999997,-0.39999999999999997,[-0.25],1,0.6499999999999999,-0.19999999999999998,-0.19999999999999998,[-1.38777878e-17],0,0.0,0.05000000000000002,0.05000000000000002,[-0.2],0,0.21,-0.09999999999999998,-0.09999999999999998,[-0.15],1,0.58,-0.15,-0.15
74,2833.0,[-0.4],1,0.5599999999999999,-0.3,-0.3,[-0.2],1,0.72,-0.19999999999999998,-0.19999999999999998,[0.05],1,0.37,0.05000000000000002,0.05000000000000002,[-0.1],0,0.21,-0.04999999999999999,-0.04999999999999999,[-0.15],0,0.27999999999999997,-0.1,-0.1
75,2830.0,[-0.3],1,0.9299999999999999,-0.3,-0.3,[-0.2],1,0.72,-0.15,-0.15,[0.05],0,0.06999999999999999,0.1,0.1,[-0.05],0,0.21,0.0,0.0,[-0.1],1,0.58,-0.05000000000000002,-0.05000000000000002
76,2825.0,[-0.3],1,0.9299999999999999,-0.1,-0.1,[-0.15],1,0.7899999999999999,2.7755575615628914e-17,2.7755575615628914e-17,[0.1],1,0.43999999999999995,0.25,0.25,[-1.38777878e-17],1,0.58,0.15,0.15,[-0.05],1,0.6499999999999999,0.1,0.1
77,2822.0,[-0.1],1,0.9299999999999999,-0.09999999999999995,-0.09999999999999995,[1.38777878e-17],1,0.8599999999999999,-0.04999999999999996,-0.04999999999999996,[0.25],1,0.13999999999999999,0.25000000000000006,0.25000000000000006,[0.15],1,0.58,0.15000000000000005,0.15000000000000005,[0.1],0,0.27999999999999997,0.15000000000000005,0.15000000000000005
78,2818.0,[-0.1],1,0.9299999999999999,0.05000000000000002,0.05000000000000002,[-0.05],1,0.9299999999999999,0.05000000000000002,0.05000000000000002,[0.25],1,0.51,0.35000000000000003,0.35000000000000003,[0.15],1,0.6499999999999999,0.25000000000000006,0.25000000000000006,[0.15],0,0.27999999999999997,0.30000000000000004,0.30000000000000004
79,2816.0,[0.05],1,0.9299999999999999,0.050000000000000044,0.050000000000000044,[0.05],0,0.5599999999999999,0.10000000000000003,0.10000000000000003,[0.35],1,0.58,0.30000000000000004,0.30000000000000004,[0.25],0,0.35,0.25000000000000006,0.25000000000000006,[0.3],1,0.27999999999999997,0.30000000000000004,0.30000000000000004
80,2814.0,[0.05],0,0.5599999999999999,0.04999999999999999,0.04999999999999999,[0.1],0,0.48999999999999994,0.10000000000000003,0.10000000000000003,[0.3],1,0.6499999999999999,0.2,0.2,[0.25],1,0.6499999999999999,0.2,0.2,[0.3],0,0.27999999999999997,0.25,0.25
