simulation_number,seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_personal_reward_2,total_personal_reward_3,total_personal_reward_4,total_personal_reward_5,total_empathic_reward_0,total_empathic_reward_1,total_empathic_reward_2,total_empathic_reward_3,total_empathic_reward_4,total_empathic_reward_5,total_combined_reward_0,total_combined_reward_1,total_combined_reward_2,total_combined_reward_3,total_combined_reward_4,total_combined_reward_5,simulation_index,episodes,emotion,see_emotions,alpha,beta,smoothing,threshold,rounder,learning_rate,gamma,epsilon,epsilon_decay,epsilon_min,batch_size,hidden_size,update_target_every,random_suffix,suffix,source
3,3,3,1000,1.0,500,1000,84.99999999999946,77.99999999999966,89.99999999999952,73.99999999999952,87.99999999999947,83.99999999999936,-834.3999999999999,-831.6000000000017,-836.4000000000018,-830.0000000000007,-835.6000000000022,-834.0000000000005,-374.7000000000008,-376.8000000000005,-373.2000000000008,-378.0000000000008,-373.8000000000007,-375.0000000000008,3,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,3740,episode_summary,gametheoretic
3,3,4,1000,3.0,500,1000,79.99999999999947,96.9999999999994,82.99999999999955,76.99999999999952,90.9999999999994,68.99999999999967,-833.2000000000011,-840.000000000001,-834.4000000000011,-832.0000000000014,-837.6000000000015,-828.800000000001,-376.6000000000007,-371.5000000000008,-375.7000000000005,-377.50000000000085,-373.3000000000006,-379.9000000000005,3,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,3740,episode_summary,gametheoretic
3,3,5,1000,0.0,500,1000,103.9999999999995,73.99999999999964,81.99999999999946,74.99999999999966,84.99999999999964,79.9999999999996,-841.5999999999996,-829.6000000000006,-832.8,-830.0000000000007,-834.0,-831.9999999999991,-368.8000000000002,-377.8000000000002,-375.4000000000003,-377.50000000000034,-374.50000000000017,-376.00000000000045,3,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,3740,episode_summary,gametheoretic
4,4,0,1000,1.0,500,1000,85.99999999999946,65.99999999999959,87.99999999999963,83.99999999999942,94.99999999999956,79.99999999999946,-834.7999999999996,-826.7999999999998,-835.599999999999,-833.9999999999997,-838.3999999999999,-832.4000000000001,-374.4,-380.39999999999975,-373.7999999999997,-374.9999999999999,-371.7000000000001,-376.2000000000001,4,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,84919,episode_summary,gametheoretic
4,4,1,1000,2.0,500,1000,89.99999999999939,81.99999999999937,73.99999999999966,88.99999999999957,85.99999999999935,76.99999999999962,-836.7999999999998,-833.6000000000004,-830.4000000000007,-836.4000000000001,-835.2000000000002,-831.6000000000007,-373.3999999999999,-375.8000000000002,-378.2000000000001,-373.6999999999997,-374.6,-377.2999999999999,4,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,84919,episode_summary,gametheoretic
4,4,2,1000,2.0,500,1000,76.99999999999953,95.99999999999925,79.99999999999952,84.99999999999949,75.99999999999967,83.99999999999949,-831.6000000000001,-839.200000000001,-832.7999999999992,-834.7999999999993,-831.1999999999998,-834.4,-377.2999999999996,-371.5999999999998,-376.3999999999996,-374.8999999999997,-377.5999999999995,-375.1999999999997,4,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,84919,episode_summary,gametheoretic
4,4,3,1000,0.0,500,1000,102.9999999999992,68.99999999999957,83.99999999999964,83.99999999999942,70.99999999999959,88.99999999999939,-841.199999999999,-827.5999999999987,-833.5999999999996,-833.6,-828.3999999999997,-835.6000000000003,-369.0999999999996,-379.2999999999994,-374.7999999999996,-374.7999999999997,-378.69999999999936,-373.2999999999997,4,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,84919,episode_summary,gametheoretic
5,5,0,1000,2.0,500,1000,95.99999999999932,78.99999999999952,72.99999999999969,66.99999999999963,101.99999999999947,80.99999999999946,-839.2,-832.4000000000002,-830.0000000000005,-827.5999999999999,-841.6000000000001,-833.2000000000003,-371.5999999999997,-376.7,-378.4999999999997,-380.30000000000007,-369.7999999999996,-376.0999999999999,5,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,715450,episode_summary,gametheoretic
5,5,1,1000,2.0,500,1000,80.9999999999995,85.99999999999933,84.99999999999947,81.99999999999955,78.99999999999949,84.99999999999945,-833.1999999999992,-835.2000000000004,-834.7999999999984,-833.6000000000007,-832.3999999999992,-834.799999999999,-376.0999999999996,-374.5999999999999,-374.8999999999997,-375.7999999999995,-376.6999999999996,-374.8999999999994,5,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,715450,episode_summary,gametheoretic
5,5,2,1000,1.0,500,1000,92.9999999999996,69.99999999999972,90.9999999999994,83.99999999999955,82.99999999999949,77.99999999999956,-837.6,-828.4000000000001,-836.8,-834.0000000000002,-833.6000000000008,-831.6,-372.3000000000002,-379.2000000000002,-372.9,-375.0,-375.30000000000007,-376.8000000000002,5,5000,average,True,0.5,0.5,linear,0.5,2,0.001,0.99,1.0,0.995,0.01,16,64,5,715450,episode_summary,gametheoretic
