simulation_number,seed,episode,step,resource_remaining,initial_resources,max_step,observation_0,observation_1,observation_2,action_0,action_1,action_2,personal_reward_0,personal_reward_1,personal_reward_2,empathic_reward_0,empathic_reward_1,empathic_reward_2,total_reward_0,total_reward_1,total_reward_2
0,0,0,134,11.0,100,500,[-0.9],1,0.05,-1.0,-0.475,[-0.9],1,0.0,-0.9,-0.45,[-0.8],0,0.0,-0.9,-0.45
0,0,0,135,10.0,100,500,[-1.],1,0.05,-0.9,-0.425,[-0.9],0,0.0,-0.8,-0.4,[-0.9],1,0.55,-0.9,-0.175
0,0,0,136,10.0,100,500,[-0.9],1,0.05,-0.9,-0.425,[-0.8],0,0.0,-0.8,-0.4,[-0.9],0,0.05,-0.9,-0.425
0,0,0,137,10.0,100,500,[-0.9],1,0.05,-0.9,-0.425,[-0.8],0,0.0,-0.8,-0.4,[-0.9],0,0.05,-0.9,-0.425
0,0,0,138,10.0,100,500,[-0.9],1,0.05,-0.9,-0.425,[-0.8],1,0.0,-0.8,-0.4,[-0.9],0,0.05,-0.9,-0.425
0,0,0,139,10.0,100,500,[-0.9],1,0.05,-0.9,-0.425,[-0.8],0,0.0,-0.8,-0.4,[-0.9],0,0.05,-0.9,-0.425
0,0,0,140,10.0,100,500,[-0.9],1,0.0,-0.9,-0.45,[-0.8],0,0.0,-0.9,-0.45,[-0.9],0,0.05,-1.0,-0.475
0,0,0,141,10.0,100,500,[-0.9],0,0.0,-0.9,-0.45,[-0.9],0,0.0,-0.9,-0.45,[-1.],1,0.05,-1.0,-0.475
0,0,0,142,9.0,100,500,[-0.9],1,0.55,-0.9,-0.175,[-0.9],0,0.0,-0.8,-0.4,[-1.],0,0.05,-0.9,-0.425
0,0,0,143,9.0,100,500,[-0.9],0,0.05,-0.9,-0.425,[-0.8],0,0.0,-0.8,-0.4,[-0.9],0,0.05,-0.9,-0.425
0,0,0,144,9.0,100,500,[-0.9],0,0.05,-0.9,-0.425,[-0.8],0,0.0,-0.8,-0.4,[-0.9],0,0.05,-0.9,-0.425
0,0,0,145,9.0,100,500,[-0.9],0,0.05,-1.0,-0.475,[-0.8],0,0.0,-0.9,-0.45,[-0.9],0,0.0,-0.9,-0.45
0,0,0,146,9.0,100,500,[-1.],1,0.05,-1.0,-0.475,[-0.9],1,0.0,-0.9,-0.45,[-0.9],1,0.0,-0.9,-0.45
0,0,0,147,9.0,100,500,[-1.],1,0.05,-1.0,-0.475,[-0.9],1,0.0,-0.9,-0.45,[-0.9],0,0.0,-0.9,-0.45
0,0,0,148,9.0,100,500,[-1.],0,0.05,-1.0,-0.475,[-0.9],0,0.0,-0.9,-0.45,[-0.9],1,0.0,-0.9,-0.45
0,0,0,149,9.0,100,500,[-1.],0,0.05,-1.0,-0.475,[-0.9],1,0.0,-0.9,-0.45,[-0.9],1,0.0,-0.9,-0.45
0,0,0,150,9.0,100,500,[-1.],0,0.05,-1.0,-0.475,[-0.9],0,0.0,-0.9,-0.45,[-0.9],1,0.0,-0.9,-0.45
